Attaching to dataclay_logicmodule_1
[36mlogicmodule_1  |[0m 2019-11-13T17:26:27,706 DEBUG [MetaDataService] [LM-1-thread-1] [MetaDataService:360] [==Register object==] Updating cache of metadatas: 8ff7b6cb-72db-4c46-bc19-7334986d3b23 -> [objectID = 8ff7b6cb-72db-4c46-bc19-7334986d3b23, classID = 8b076e02-1ea5-4a3d-bdbb-90d8dc45214c, dataSetID = 8a4026a9-98bc-4389-a5ca-a37a01c9bec8, locations = [8f9f7e54-55cc-4d7b-a7e1-2b96db119739], isReadOnly = false, aliases = [my-pycity], language = LANG_PYTHON, owner = 3afdd8c1-3754-4ebc-8a00-5e15f6e8344e]
[36mlogicmodule_1  |[0m 2019-11-13T17:26:27,708 DEBUG [LogicModule] [LM-1-thread-1] [LogicModule:3523] Notifying garbage collectors reference counting: {8ff7b6cb-72db-4c46-bc19-7334986d3b23=1}
[36mlogicmodule_1  |[0m 2019-11-13T17:26:27,709 DEBUG [MetaDataService] [LM-1-thread-1] [MetaDataService:1488] Retrieval of ObjectBasicMetaData for 8ff7b6cb-72db-4c46-bc19-7334986d3b23
[36mlogicmodule_1  |[0m 2019-11-13T17:26:27,709 DEBUG [MetaDataService] [LM-1-thread-1] [MetaDataService:1510] Found metadata [objectID = 8ff7b6cb-72db-4c46-bc19-7334986d3b23, classID = 8b076e02-1ea5-4a3d-bdbb-90d8dc45214c, dataSetID = 8a4026a9-98bc-4389-a5ca-a37a01c9bec8, locations = [8f9f7e54-55cc-4d7b-a7e1-2b96db119739], isReadOnly = false, aliases = [my-pycity], language = LANG_PYTHON, owner = 3afdd8c1-3754-4ebc-8a00-5e15f6e8344e] in cache for 8ff7b6cb-72db-4c46-bc19-7334986d3b23
[36mlogicmodule_1  |[0m 2019-11-13T17:26:30,581 DEBUG [MetaDataService] [LM-1-thread-1] [MetaDataService:1488] Retrieval of ObjectBasicMetaData for 8ff7b6cb-72db-4c46-bc19-7334986d3b23
[36mlogicmodule_1  |[0m 2019-11-13T17:26:30,582 DEBUG [MetaDataService] [LM-1-thread-1] [MetaDataService:1510] Found metadata [objectID = 8ff7b6cb-72db-4c46-bc19-7334986d3b23, classID = 8b076e02-1ea5-4a3d-bdbb-90d8dc45214c, dataSetID = 8a4026a9-98bc-4389-a5ca-a37a01c9bec8, locations = [8f9f7e54-55cc-4d7b-a7e1-2b96db119739], isReadOnly = false, aliases = [my-pycity], language = LANG_PYTHON, owner = 3afdd8c1-3754-4ebc-8a00-5e15f6e8344e] in cache for 8ff7b6cb-72db-4c46-bc19-7334986d3b23
[36mlogicmodule_1  |[0m 2019-11-13T17:26:33,512 DEBUG [LogicModule] [LM-1-thread-1] [LogicModule:3908] Notified registration of external dataClay DataClay instance info: [id: eb78a624-9124-4e28-9802-0beb92385ef6] [hosts: [logicmodule]] [corresponding ports: [11034]]
[36mlogicmodule_1  |[0m 2019-11-13T17:26:35,873 DEBUG [LogicModule] [LM-1-thread-1] [LogicModule:4078] [==Federation==] Notified federation of objects
[36mlogicmodule_1  |[0m 2019-11-13T17:26:35,878 DEBUG [LogicModule] [LM-1-thread-1] [LogicModule:4096] [==Federation==] Looking for random exec.environment of language 
[36mlogicmodule_1  |[0m 2019-11-13T17:26:35,879 DEBUG [LogicModule] [LM-1-thread-1] [LogicModule:601] [==GetExecutionEnvironments==] Execution environments in language LANG_PYTHON : [8f9f7e54-55cc-4d7b-a7e1-2b96db119739]
[36mlogicmodule_1  |[0m 2019-11-13T17:26:35,880 DEBUG [MetaDataService] [LM-1-thread-1] [MetaDataService:221] Alias block0 not found in cache.
[36mlogicmodule_1  |[0m 2019-11-13T17:26:35,887 DEBUG [LogicModule] [LM-1-thread-1] [LogicModule:4159] [==Federation==] Registering external object metadata for 89adc1ee-e2c7-45a8-94f6-8c94f7e4d859 from source dataClay eb78a624-9124-4e28-9802-0beb92385ef6
[36mlogicmodule_1  |[0m 2019-11-13T17:26:35,889 DEBUG [LogicModule] [LM-1-thread-1] [LogicModule:4180] [==Federation==] Registering federated object with aliases: [block0] and class: 25d31553-b873-47e1-b0fc-83533f0b0435
[36mlogicmodule_1  |[0m 2019-11-13T17:26:35,889 DEBUG [MetaDataService] [LM-1-thread-1] [MetaDataService:221] Alias block0 not found in cache.
[36mlogicmodule_1  |[0m 2019-11-13T17:26:35,890 DEBUG [MetaDataService] [LM-1-thread-1] [MetaDataService:344] Registering object 89adc1ee-e2c7-45a8-94f6-8c94f7e4d859 with alias: [block0] and language LANG_PYTHON.
[36mlogicmodule_1  |[0m 2019-11-13T17:26:35,892 DEBUG [MetaDataService] [LM-1-thread-1] [MetaDataService:360] [==Register object==] Updating cache of metadatas: 89adc1ee-e2c7-45a8-94f6-8c94f7e4d859 -> [objectID = 89adc1ee-e2c7-45a8-94f6-8c94f7e4d859, classID = 25d31553-b873-47e1-b0fc-83533f0b0435, dataSetID = fbb5105e-b278-4ed3-bba4-aed536f3ae12, locations = [8f9f7e54-55cc-4d7b-a7e1-2b96db119739], isReadOnly = false, aliases = [block0], language = LANG_PYTHON, owner = eb78a624-9124-4e28-9802-0beb92385ef6]
[36mlogicmodule_1  |[0m 2019-11-13T17:26:35,894 DEBUG [LogicModule] [LM-1-thread-1] [LogicModule:4159] [==Federation==] Registering external object metadata for 9af9057f-6977-4884-b401-5e0141784cbd from source dataClay eb78a624-9124-4e28-9802-0beb92385ef6
[36mlogicmodule_1  |[0m 2019-11-13T17:26:35,898 DEBUG [LogicModule] [LM-1-thread-1] [LogicModule:4180] [==Federation==] Registering federated object with aliases: [] and class: 8f83b28b-13e0-4e69-93a1-d4001e193ab4
[36mlogicmodule_1  |[0m 2019-11-13T17:26:35,899 DEBUG [MetaDataService] [LM-1-thread-1] [MetaDataService:344] Registering object 9af9057f-6977-4884-b401-5e0141784cbd with alias: [] and language LANG_PYTHON.
[36mlogicmodule_1  |[0m 2019-11-13T17:26:35,901 DEBUG [MetaDataService] [LM-1-thread-1] [MetaDataService:360] [==Register object==] Updating cache of metadatas: 9af9057f-6977-4884-b401-5e0141784cbd -> [objectID = 9af9057f-6977-4884-b401-5e0141784cbd, classID = 8f83b28b-13e0-4e69-93a1-d4001e193ab4, dataSetID = fbb5105e-b278-4ed3-bba4-aed536f3ae12, locations = [8f9f7e54-55cc-4d7b-a7e1-2b96db119739], isReadOnly = false, aliases = [], language = LANG_PYTHON, owner = eb78a624-9124-4e28-9802-0beb92385ef6]
[36mlogicmodule_1  |[0m 2019-11-13T17:26:35,902 DEBUG [LogicModule] [LM-1-thread-1] [LogicModule:4159] [==Federation==] Registering external object metadata for ff8a14ce-f2b8-4192-af50-7802f6cc67cf from source dataClay eb78a624-9124-4e28-9802-0beb92385ef6
[36mlogicmodule_1  |[0m 2019-11-13T17:26:35,903 DEBUG [LogicModule] [LM-1-thread-1] [LogicModule:4180] [==Federation==] Registering federated object with aliases: [] and class: 317f46df-1ae6-4c11-95f4-6175e03d16ac
[36mlogicmodule_1  |[0m 2019-11-13T17:26:35,904 DEBUG [MetaDataService] [LM-1-thread-1] [MetaDataService:344] Registering object ff8a14ce-f2b8-4192-af50-7802f6cc67cf with alias: [] and language LANG_PYTHON.
[36mlogicmodule_1  |[0m 2019-11-13T17:26:35,906 DEBUG [MetaDataService] [LM-1-thread-1] [MetaDataService:360] [==Register object==] Updating cache of metadatas: ff8a14ce-f2b8-4192-af50-7802f6cc67cf -> [objectID = ff8a14ce-f2b8-4192-af50-7802f6cc67cf, classID = 317f46df-1ae6-4c11-95f4-6175e03d16ac, dataSetID = fbb5105e-b278-4ed3-bba4-aed536f3ae12, locations = [8f9f7e54-55cc-4d7b-a7e1-2b96db119739], isReadOnly = false, aliases = [], language = LANG_PYTHON, owner = eb78a624-9124-4e28-9802-0beb92385ef6]
[36mlogicmodule_1  |[0m 2019-11-13T17:26:35,907 DEBUG [LogicModule] [LM-1-thread-1] [LogicModule:4213] [==Federation==] Calling federate to EE, objects: 
[36mlogicmodule_1  |[0m 2019-11-13T17:26:36,355 DEBUG [LogicModule] [LM-1-thread-2] [LogicModule:3687] Starting get object from alias for alias my-pycity
[36mlogicmodule_1  |[0m 2019-11-13T17:26:36,357 DEBUG [LogicModule] [LM-1-thread-2] [LogicModule:3697] Get object info from alias my-pycity
[36mlogicmodule_1  |[0m 2019-11-13T17:26:36,359 DEBUG [MetaDataService] [LM-1-thread-2] [MetaDataService:216] Get by alias: Obtained object 8ff7b6cb-72db-4c46-bc19-7334986d3b23 from alias: my-pycity
[36mlogicmodule_1  |[0m 2019-11-13T17:26:36,360 DEBUG [LogicModule] [LM-1-thread-2] [LogicModule:3715] Returning object with id 8ff7b6cb-72db-4c46-bc19-7334986d3b23 and alias my-pycity
[36mlogicmodule_1  |[0m 2019-11-13T17:26:36,377 DEBUG [util.Configuration] [LM-1-thread-1] [Configuration$Flags:438] Looking for env variable set in global.properties: PRETTY_PRINT_MESSAGES
[36mlogicmodule_1  |[0m 2019-11-13T17:26:36,377 DEBUG [util.Configuration] [LM-1-thread-1] [Configuration$Flags:477] Not found environment variable set in global.properties, using default: PRETTY_PRINT_MESSAGES=null
[36mlogicmodule_1  |[0m 2019-11-13T17:26:36,378 DEBUG [LogicModule] [LM-1-thread-1] [LogicModule:3523] Notifying garbage collectors reference counting: {9af9057f-6977-4884-b401-5e0141784cbd=1, 89adc1ee-e2c7-45a8-94f6-8c94f7e4d859=2, ff8a14ce-f2b8-4192-af50-7802f6cc67cf=1}
[36mlogicmodule_1  |[0m 2019-11-13T17:26:36,379 DEBUG [MetaDataService] [LM-1-thread-1] [MetaDataService:1488] Retrieval of ObjectBasicMetaData for 9af9057f-6977-4884-b401-5e0141784cbd
[36mlogicmodule_1  |[0m 2019-11-13T17:26:36,379 DEBUG [MetaDataService] [LM-1-thread-1] [MetaDataService:1510] Found metadata [objectID = 9af9057f-6977-4884-b401-5e0141784cbd, classID = 8f83b28b-13e0-4e69-93a1-d4001e193ab4, dataSetID = fbb5105e-b278-4ed3-bba4-aed536f3ae12, locations = [8f9f7e54-55cc-4d7b-a7e1-2b96db119739], isReadOnly = false, aliases = [], language = LANG_PYTHON, owner = eb78a624-9124-4e28-9802-0beb92385ef6] in cache for 9af9057f-6977-4884-b401-5e0141784cbd
[36mlogicmodule_1  |[0m 2019-11-13T17:26:36,382 DEBUG [MetaDataService] [LM-1-thread-1] [MetaDataService:1488] Retrieval of ObjectBasicMetaData for 89adc1ee-e2c7-45a8-94f6-8c94f7e4d859
[36mlogicmodule_1  |[0m 2019-11-13T17:26:36,384 DEBUG [MetaDataService] [LM-1-thread-1] [MetaDataService:1510] Found metadata [objectID = 89adc1ee-e2c7-45a8-94f6-8c94f7e4d859, classID = 25d31553-b873-47e1-b0fc-83533f0b0435, dataSetID = fbb5105e-b278-4ed3-bba4-aed536f3ae12, locations = [8f9f7e54-55cc-4d7b-a7e1-2b96db119739], isReadOnly = false, aliases = [block0], language = LANG_PYTHON, owner = eb78a624-9124-4e28-9802-0beb92385ef6] in cache for 89adc1ee-e2c7-45a8-94f6-8c94f7e4d859
[36mlogicmodule_1  |[0m 2019-11-13T17:26:36,385 DEBUG [MetaDataService] [LM-1-thread-1] [MetaDataService:1488] Retrieval of ObjectBasicMetaData for ff8a14ce-f2b8-4192-af50-7802f6cc67cf
